Meta;Sentence;Tokens;Lemmas;POS
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Перестанешь учиться – не сможешь и учить.;Перестанешь учиться – не сможешь и учить .;перестать учиться – не мочь и учить .;AUX VERB PUNCT PART VERB CCONJ VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Ибо знания все растут и усложняются.;Ибо знания все растут и усложняются .;ибо знание все расти и усложняться .;SCONJ NOUN PRON VERB CCONJ VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Нужно при этом помнить, что самое благоприятное время для учения – молодость.;Нужно при этом помнить , что самое благоприятное время для учения – молодость .;нужный при это помнить , что самый благоприятный время для учение – молодость .;ADJ ADP PRON VERB PUNCT SCONJ ADJ ADJ NOUN ADP NOUN PUNCT NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Именно в молодости, в детстве, в отрочестве, в юности ум человека наиболее восприимчив.;Именно в молодости , в детстве , в отрочестве , в юности ум человека наиболее восприимчив .;именно в молодость , в детство , в отрочество , в юность ум человек наиболее восприимчий .;PART ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN NOUN NOUN ADV ADJ PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Восприимчив к изучению языков (что крайне важно), к математике, к усвоению просто знаний и развитию эстетическому, стоящему рядом с развитием нравственным и отчасти его стимулирующим.;Восприимчив к изучению языков ( что крайне важно ) , к математике , к усвоению просто знании ̆ и развитию эстетическому , стоящему рядом с развитием нравственным и отчасти его стимулирующим .;восприимчий к изучение язык ( что крайь важный ) , к математика , к усвоение просто знание ̆ и развитие эстетический , стоять рядом с развитие нравственный и отчасти он стимулировать .;ADJ ADP NOUN NOUN PUNCT PRON NOUN ADJ PUNCT PUNCT ADP NOUN PUNCT ADP NOUN PART NOUN PUNCT CCONJ NOUN ADJ PUNCT VERB ADV ADP NOUN ADJ CCONJ ADV PRON VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Умейте не терять времени на пустяки, на «отдых», который иногда утомляет больше, чем самая тяжелая работа, не заполняйте свой светлый разум мутными потоками глупой и бесцельной «информации».;Умейте не терять времени на пустяки , на « отдых » , которыи ̆ иногда утомляет больше , чем самая тяжелая работа , не заполняйте свой светлыи ̆ разум мутными потоками глупой и бесцельной « информации » .;"уметь не терять время на пустяк , на "" отдых "" , который ̆ иногда утомлять больше , чем самый тяжелый работа , не заполнять своий светлый ̆ разум мутный поток глупойский и бесцельнойтый "" информация "" .";VERB PART VERB NOUN ADP NOUN PUNCT ADP PUNCT NOUN PUNCT PUNCT PRON PUNCT ADV VERB ADV PUNCT SCONJ ADJ ADJ NOUN PUNCT PART VERB DET ADJ PUNCT NOUN ADJ NOUN ADJ CCONJ ADJ PUNCT NOUN PUNCT PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Берегите себя для учения, для приобретения знаний и навыков, которые только в молодости вы освоите легко и быстро.;Берегите себя для учения , для приобретения знании ̆ и навыков , которые только в молодости вы освоите легко и быстро .;беречь себя для учение , для приобретение знание ̆ и навык , который только в молодость вы освовить легко и быстро .;VERB PRON ADP NOUN PUNCT ADP NOUN NOUN PUNCT CCONJ NOUN PUNCT PRON PART ADP NOUN PRON VERB ADV CCONJ ADV PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;И вот тут я слышу тяжкий вздох молодого человека: какую же скучную жизнь вы предлагаете нашей молодежи!;И вот тут я слышу тяжкии ̆ вздох молодого человека : какую же скучную жизнь вы предлагаете нашей молодежи !;и вот тут я слышать тяжкий ̆ вздох молодой человек : какой же скучный жизнь вы предлагать нашей молодежь !;CCONJ PART ADV PRON VERB ADJ PUNCT NOUN ADJ NOUN PUNCT DET PART ADJ NOUN PRON VERB ADJ NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Только учиться.;Только учиться .;только учиться .;PART VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;А где же отдых, развлечения?;А где же отдых , развлечения ?;а где же отдых , развлечение ?;CCONJ ADV PART NOUN PUNCT NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Что же нам, и не радоваться?;Что же нам , и не радоваться ?;что же мы , и не радоваться ?;PRON PART PRON PUNCT CCONJ PART VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Да нет же.;Да нет же .;да нет же .;CCONJ VERB PART PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Приобретение навыков и знаний – это тот же спорт.;Приобретение навыков и знании ̆ – это тот же спорт .;приобретение навык и знание ̆ – это тот же спорт .;NOUN NOUN CCONJ NOUN PUNCT PUNCT PRON DET PART NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Учение тяжело, когда мы не умеем найти в нем радость.;Учение тяжело , когда мы не умеем найти в нем радость .;учение тяжелый , когда мы не уметь найти в он радость .;NOUN ADJ PUNCT SCONJ PRON PART VERB VERB ADP PRON NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Надо любить учиться и формы отдыха и развлечений выбирать умные, способные также чему-то научить, развить в нас какие-то способности, которые понадобятся в жизни.;Надо любить учиться и формы отдыха и развлечении ̆ выбирать умные , способные также чему-то научить , развить в нас какие-то способности , которые понадобятся в жизни .;надо любить учиться и форма отдых и развлечение ̆ выбирать умный , способный также что-то научить , развить в мы какой-то способность , который понадобиться в жизнь .;ADV VERB VERB CCONJ NOUN NOUN CCONJ NOUN PUNCT VERB ADJ PUNCT ADJ ADV PRON VERB PUNCT VERB ADP PRON DET NOUN PUNCT PRON VERB ADP NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;А если не нравится учиться?;А если не нравится учиться ?;а если не нравиться учиться ?;CCONJ SCONJ PART VERB VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Быть того не может.;Быть того не может .;быть то не мочь .;VERB PRON PART VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Значит, вы просто не открыли той радости, которую приносит ребенку, юноше, девушке приобретение знаний и навыков.;Значит , вы просто не открыли той радости , которую приносит ребенку , юноше , девушке приобретение знании ̆ и навыков .;значит , вы просто не открыть тот радость , который приносить ребенок , юноша , девушка приобретение знание ̆ и навык .;ADV PUNCT PRON PART PART VERB DET NOUN PUNCT PRON VERB NOUN PUNCT NOUN PUNCT NOUN NOUN NOUN PUNCT CCONJ NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Посмотрите на маленького ребенка – с каким удовольствием он начинает учиться ходить, говорить, копаться в различных механизмах (у мальчиков), нянчить куклы (у девочек).;Посмотрите на маленького ребенка – с каким удовольствием он начинает учиться ходить , говорить , копаться в различных механизмах ( у мальчиков ) , нянчить куклы ( у девочек ) .;смотреть на маленький ребенок – с какой удовольствие он начинать учиться ходить , говорить , копаться в различный механизм ( у мальчик ) , нянчить кукла ( у девочка ) .;VERB ADP ADJ NOUN PUNCT ADP DET NOUN PRON VERB VERB VERB PUNCT VERB PUNCT VERB ADP ADJ NOUN PUNCT ADP NOUN PUNCT PUNCT VERB NOUN PUNCT ADP NOUN PUNCT PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Постарайтесь продолжить эту радость освоения нового.;Постарайтесь продолжить эту радость освоения нового .;стараться продолжить этот радость освоение новый .;VERB VERB DET NOUN NOUN ADJ PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Это во многом зависит именно от вас самих.;Это во многом зависит именно от вас самих .;это в многое зависеть именно от вы сам .;PRON ADP NOUN VERB PART ADP PRON ADJ PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Не зарекайтесь: не люблю учиться!;Не зарекайтесь : не люблю учиться !;не зарекаться : не любить учиться !;PART VERB PUNCT PART VERB VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;А вы попробуйте любить все предметы, какие проходите в школе.;А вы попробуйте любить все предметы , какие проходите в школе .;а вы пробовать любить весь предмет , какой проходить в школа .;CCONJ PRON VERB VERB DET NOUN PUNCT DET VERB ADP NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Если другим людям они нравились, то почему вам они могут не понравиться!;Если другим людям они нравились , то почему вам они могут не понравиться !;если другой человек они нравиться , то почему вы они мочь не понравиться !;SCONJ ADJ NOUN PRON VERB PUNCT SCONJ ADV PRON PRON VERB PART VERB PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Читайте стоящие книги, а не просто чтиво.;Читайте стоящие книги , а не просто чтиво .;читать стоять книга , а не просто чтиво .;VERB VERB NOUN PUNCT CCONJ PART PART NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Изучайте историю и литературу.;Изучайте историю и литературу .;изучать история и литература .;VERB NOUN CCONJ NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;И то и другое должен хорошо знать интеллигентный человек.;И то и другое должен хорошо знать интеллигентныи ̆ человек .;и то и другой должен хорошо знать интеллигентный ̆ человек .;CCONJ PRON PART ADJ ADJ ADV VERB ADJ PUNCT NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Именно они дают человеку нравственный и эстетический кругозор, делают окружающий мир большим, интересным, излучающим опыт и радость.;Именно они дают человеку нравственныи ̆ и эстетическии ̆ кругозор , делают окружающии ̆ мир большим , интересным , излучающим опыт и радость .;именно они давать человек нравственный ̆ и эстетический ̆ кругозор , делать окружать ̆ мир большой , интересный , излучать опыт и радость .;PART PRON VERB NOUN ADJ PUNCT CCONJ ADJ PUNCT NOUN PUNCT VERB VERB PUNCT NOUN ADJ PUNCT ADJ PUNCT VERB NOUN CCONJ NOUN PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Если вам что-то не нравится в каком-либо предмете – напрягитесь и постарайтесь найти в нем источник радости – радости приобретения нового.;Если вам что-то не нравится в каком-либо предмете – напрягитесь и постарайтесь найти в нем источник радости – радости приобретения нового .;если вы что-то не нравиться в какой-либо предмет – напрячься и стараться найти в он источник радость – радость приобретение новый .;SCONJ PRON PRON PART VERB ADP DET NOUN PUNCT VERB CCONJ VERB VERB ADP PRON NOUN NOUN PUNCT NOUN NOUN ADJ PUNCT
Письмо двадцать шестое. УЧИТЕСЬ УЧИТЬСЯ;Учитесь любить учиться!;Учитесь любить учиться !;учиться любить учиться !;VERB VERB VERB PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Память и знание прошлого наполняют мир, делают его интересным, значительным, одухотворенным.;Память и знание прошлого наполняют мир , делают его интересным , значительным , одухотворенным .;память и знание прошлое наполнять мир , делать он интересный , значительный , одухотворенный .;NOUN CCONJ NOUN NOUN VERB NOUN PUNCT VERB PRON ADJ PUNCT ADJ PUNCT ADJ PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Если вы не видите за окружающим вас миром его прошлого, он для вас пуст.;Если вы не видите за окружающим вас миром его прошлого , он для вас пуст .;если вы не видеть за окружать вы мир его прошлое , он для вы пустой .;SCONJ PRON PART VERB ADP VERB PRON NOUN DET NOUN PUNCT PRON ADP PRON ADJ PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Вам скучно, вам тоскливо, и вы в конечном счете одиноки, ибо и товарищи для вас – товарищи по-настоящему, когда вас связывает с ними какое-то общее прошлое: окончили ли школу, институт, либо работали вместе, а старики помнят с особенной нежностью тех, с кем воевали, пережили какие-то трудности.;Вам скучно , вам тоскливо , и вы в конечном счете одиноки , ибо и товарищи для вас – товарищи по-настоящему , когда вас связывает с ними какое-то общее прошлое : окончили ли школу , институт , либо работали вместе , а старики помнят с особенной нежностью тех , с кем воевали , пережили какие-то трудности .;вы скучный , вы тоскливо , и вы в конечный счет одинокий , ибо и товарищ для вы – товарищ по-настоящему , когда вы связывать с они какой-то общий прошлое : окончить ли школа , институт , либо работать вместе , а старик помнить с особеннойый нежность тот , с кто воевать , пережить какой-то трудность .;PRON ADJ PUNCT PRON ADJ PUNCT CCONJ PRON ADP ADJ NOUN ADJ PUNCT SCONJ PART NOUN ADP PRON PUNCT NOUN ADV PUNCT SCONJ PRON VERB ADP PRON DET ADJ NOUN PUNCT VERB PART NOUN PUNCT NOUN PUNCT CCONJ VERB ADV PUNCT CCONJ NOUN VERB ADP ADJ NOUN DET PUNCT ADP PRON VERB PUNCT VERB DET NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Пусть дома, мимо которых мы ходим, пусть города и села, в которых мы живем, пусть даже завод, на котором мы работаем, или корабли, на которых мы плаваем, – будут для нас живыми, то есть имеющими прошлое!;Пусть дома , мимо которых мы ходим , пусть города и села , в которых мы живем , пусть даже завод , на котором мы работаем , или корабли , на которых мы плаваем , – будут для нас живыми , то есть имеющими прошлое !;пусть дома , мимо который мы ходить , пусть город и село , в который мы жить , пусть даже завод , на который мы работать , или корабль , на который мы плавать , – быть для мы живой , то быть иметь прошлое !;PART ADV PUNCT ADP PRON PRON VERB PUNCT SCONJ NOUN CCONJ NOUN PUNCT ADP PRON PRON VERB PUNCT PART PART NOUN PUNCT ADP PRON PRON VERB PUNCT CCONJ NOUN PUNCT ADP PRON PRON VERB PUNCT PUNCT AUX ADP PRON ADJ PUNCT PRON VERB VERB NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Жизнь – это не одномоментность существования.;Жизнь – это не одномоментность существования .;жизнь – это не одномоментность существование .;NOUN PUNCT PRON PART NOUN NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Будем знать историю – историю всего, что нас окружает в большом и малом масштабах.;Будем знать историю – историю всего , что нас окружает в большом и малом масштабах .;быть знать история – история все , что мы окружать в большой и малый масштаб .;AUX VERB NOUN PUNCT NOUN PRON PUNCT PRON PRON VERB ADP ADJ CCONJ ADJ NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Это ведь четвертое, очень важное измерение мира.;Это ведь четвертое , очень важное измерение мира .;это ведь четвертый , очень важный измерение мир .;PRON PART ADJ PUNCT ADV ADJ NOUN NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Но мы не только должны знать историю всего, что нас окружает, начиная с нашей семьи, продолжая селом или городом и кончая страной и миром, но и хранить эту историю, эту безмерную глубину окружающего.;Но мы не только должны знать историю всего , что нас окружает , начиная с нашей семьи , продолжая селом или городом и кончая страной и миром , но и хранить эту историю , эту безмерную глубину окружающего .;но мы не только должен знать история все , что мы окружать , начинать с нашей семья , продолжать село или город и кончать страной и мир , но и хранить этот история , этот безмерный глубина окружать .;CCONJ PRON PART PART ADJ VERB NOUN PRON PUNCT PRON PRON VERB PUNCT VERB ADP ADJ NOUN PUNCT VERB NOUN CCONJ NOUN CCONJ VERB NOUN CCONJ NOUN PUNCT CCONJ PART VERB DET NOUN PUNCT DET ADJ NOUN VERB PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Обратите внимание: дети и молодые люди особенно любят обычаи, традиционные празднества.;Обратите внимание : дети и молодые люди особенно любят обычаи , традиционные празднества .;обратить внимание : ребенок и молодой человек особенно любить обычай , традиционный празднество .;VERB NOUN PUNCT NOUN CCONJ ADJ NOUN ADV VERB NOUN PUNCT ADJ NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Ибо они осваивают мир, осваивают его в традиции, в истории.;Ибо они осваивают мир , осваивают его в традиции , в истории .;ибо они осваивать мир , осваивать он в традиция , в история .;SCONJ PRON VERB NOUN PUNCT VERB PRON ADP NOUN PUNCT ADP NOUN PUNCT
Письмо двадцать седьмое. ЧЕТВЕРТОЕ ИЗМЕРЕНИЕ;Будем же активнее защищать все то, что делает нашу жизнь осмысленной, богатой и одухотворенной.;Будем же активнее защищать все то , что делает нашу жизнь осмысленной , богатой и одухотворенной .;быть же активный защищать весь то , что делать наш жизнь осмысленнойый , богатой̆ский и одухотворенной .;AUX PART ADJ VERB DET PRON PUNCT PRON VERB DET NOUN ADJ PUNCT ADJ CCONJ ADJ PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Меня часто спрашивают, почему в быту совершенно исчезают русские игры.;Меня часто спрашивают , почему в быту совершенно исчезают русские игры .;я часто спрашивать , почему в быт совершенно исчезать русский игра .;PRON ADV VERB PUNCT ADV ADP NOUN ADV VERB ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Лапта, горелки, городки или рюхи?;Лапта , горелки , городки или рюхи ?;лапт , горелка , городок или рюха ?;NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Сложный вопрос.;Сложныи ̆ вопрос .;сложный ̆обобеннуй вопрос .;ADJ ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Исчезают не только русские игры, исчезают игры вообще.;Исчезают не только русские игры , исчезают игры вообще .;исчезать не только русский игра , исчезать игра вообще .;VERB PART PART ADJ NOUN PUNCT VERB NOUN ADV PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Они заменяются танцами или тем, что называется танцами.;Они заменяются танцами или тем , что называется танцами .;они заменять танец или то , что называться танец .;PRON VERB NOUN CCONJ PRON PUNCT PRON VERB NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;А между тем игры очень важны в воспитательном отношении.;А между тем игры очень важны в воспитательном отношении .;а между то игра очень важный в воспитательный отношение .;CCONJ ADP PRON NOUN ADV ADJ ADP ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Игра – будь это лапта, волейбол, горелки или еще какая-нибудь – воспитывает социальность, она воспитывает умение держаться вместе, играть вместе, ощущать партнера, ощущать противника.;Игра – будь это лапта , волейбол , горелки или еще какая-нибудь – воспитывает социальность , она воспитывает умение держаться вместе , играть вместе , ощущать партнера , ощущать противника .;игра – быть это лапта , волейбол , горелка или еще какой-нибудь – воспитывать социальность , она воспитывать умение держаться вместе , играть вместе , ощущать партнер , ощущать противник .;NOUN PUNCT AUX PRON NOUN PUNCT NOUN PUNCT NOUN CCONJ ADV DET PUNCT VERB NOUN PUNCT PRON VERB NOUN VERB ADV PUNCT VERB ADV PUNCT VERB NOUN PUNCT VERB NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Это очень важная воспитательная вещь – игра.;Это очень важная воспитательная вещь – игра .;это очень важный воспитательный вещь – игра .;PRON ADV ADJ ADJ NOUN PUNCT NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Игры должны быть возрождены в нашей жизни.;Игры должны быть возрождены в нашей жизни .;игра должен быть возразить в нашей жизнь .;NOUN ADJ AUX VERB ADP ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Потому что я уже не вижу, чтобы играли, скажем, в крокет.;Потому что я уже не вижу , чтобы играли , скажем , в крокет .;потому что я уже не видеть , чтобы играть , сказать , в крокет .;ADV SCONJ PRON ADV PART VERB PUNCT SCONJ VERB PUNCT VERB PUNCT ADP NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;А крокет – важная игра, потому что в крокет играют и взрослые, и дети, это общение взрослых и детей.;А крокет – важная игра , потому что в крокет играют и взрослые , и дети , это общение взрослых и детей .;а крокет – важный игра , потому что в крокет играть и взрослый , и ребенок , это общение взрослый и детей .;CCONJ NOUN PUNCT ADJ NOUN PUNCT ADV SCONJ ADP NOUN VERB PART NOUN PUNCT CCONJ NOUN PUNCT PRON NOUN NOUN CCONJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Это важно.;Это важно .;это важный .;PRON ADJ PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Дома заняты тем, что смотрят телевизор.;Дома заняты тем , что смотрят телевизор .;дом занять то , что смотреть телевизор .;NOUN VERB PRON PUNCT SCONJ VERB NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Вот тут телевизор оказывается серьезным конкурентом.;Вот тут телевизор оказывается серьезным конкурентом .;вот тут телевизор оказываться серьезный конкурент .;PART ADV NOUN VERB ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;А раньше играли в цифровое лото, играли дети, играли взрослые, и это служило общению взрослых и детей, это был один из моментов, очень важный в воспитательном отношении.;А раньше играли в цифровое лото , играли дети , играли взрослые , и это служило общению взрослых и детей , это был один из моментов , очень важныи ̆ в воспитательном отношении .;а рано играть в цифровой лото , играть ребенок , играть взрослый , и это служить общение взрослый и детей , это быть один из момент , очень важный ̆ в воспитательный отношение .;CCONJ ADV VERB ADP ADJ NOUN PUNCT VERB NOUN PUNCT VERB NOUN PUNCT CCONJ PRON VERB NOUN NOUN CCONJ NOUN PUNCT PRON AUX NUM ADP NOUN PUNCT ADV ADJ PUNCT ADP ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Но не только лото, существовали разные игры, в которых принимала участие вся семья.;Но не только лото , существовали разные игры , в которых принимала участие вся семья .;но не только лото , существовать разный игра , в который принимать участие весь семья .;CCONJ PART PART NOUN PUNCT VERB ADJ NOUN PUNCT ADP PRON VERB NOUN DET NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Так же, как, скажем, вся семья на Севере где-нибудь принимала участие в пении хоровых народных песен.;Так же , как , скажем , вся семья на Севере где-нибудь принимала участие в пении хоровых народных песен .;так же , как , сказать , весь семья на Север где-нибудь принимать участие в пение хоровой народный песня .;ADV PART PUNCT SCONJ PUNCT VERB PUNCT DET NOUN ADP PROPN ADV VERB NOUN ADP NOUN ADJ ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Это важный момент, потому что хор, он не только доставляет эстетическое удовольствие, он нравственно организует семью, нравственно организует общество, собравшееся где-то в деревне, в зимнюю пору, при вьюге снежной.;Это важныи ̆ момент , потому что хор , он не только доставляет эстетическое удовольствие , он нравственно организует семью , нравственно организует общество , собравшееся где-то в деревне , в зимнюю пору , при вьюге снежной .;это важный ̆обобеннуй момент , потому что хор , он не только доставлять эстетический удовольствие , он нравственно организовывать семья , нравственно организовывать общество , собраться где-то в деревня , в зимний пора , при вьюга снежнойский .;PRON ADJ ADJ NOUN PUNCT ADV SCONJ NOUN PUNCT PRON PART PART VERB ADJ NOUN PUNCT PRON ADV VERB NOUN PUNCT ADV VERB NOUN PUNCT VERB ADV ADP NOUN PUNCT ADP ADJ NOUN PUNCT ADP NOUN ADJ PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Поют – люди общаются этим способом друг с другом, они вступают в контакт.;Поют – люди общаются этим способом друг с другом , они вступают в контакт .;петь – человек общаться этот способ друг с друг , они вступать в контакт .;VERB PUNCT NOUN VERB DET NOUN NOUN ADP NOUN PUNCT PRON VERB ADP NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;А как мало у нас сейчас контактов между людьми.;А как мало у нас сейчас контактов между людьми .;а как мало у мы сейчас контакт между человек .;CCONJ ADV ADV ADP PRON NOUN NOUN ADP NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Они очень важны, непосредственные контакты, контакты интуитивные какие-то, которые вот в играх, вот в хоровом пении, в музыке организовывались.;Они очень важны , непосредственные контакты , контакты интуитивные какие-то , которые вот в играх , вот в хоровом пении , в музыке организовывались .;они очень важный , непосредственный контакт , контакт интуитивный какой-то , который вот в игра , вот в хоровый пение , в музыка организовываться .;PRON ADV ADJ PUNCT ADJ NOUN PUNCT NOUN ADJ DET PUNCT PRON PART ADP NOUN PUNCT PART ADP ADJ NOUN PUNCT ADP NOUN VERB PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Поэтому на эту сторону нашего быта, на то, что уходят из нашего быта игры, надо обратить внимание педагогическим организациям.;Поэтому на эту сторону нашего быта , на то , что уходят из нашего быта игры , надо обратить внимание педагогическим организациям .;поэтому на этот сторона наш быт , на то , что уходить из наш быт игра , надо обратить внимание педагогический организация .;ADV ADP DET NOUN DET NOUN PUNCT ADP PRON PUNCT SCONJ VERB ADP DET NOUN NOUN PUNCT ADV VERB NOUN ADJ NOUN PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;И не сделать ли уроки физкультуры в наших школах игровыми?;И не сделать ли уроки физкультуры в наших школах игровыми ?;и не делать ли урок физкультура в наш школа игровой ?;CCONJ PART VERB PART NOUN NOUN ADP DET NOUN ADJ PUNCT
Письмо двадцать восьмое. БЫТЬ ВМЕСТЕ;Это давало бы одновременно и физическое развитие, и нравственное, и объединяло бы класс.;Это давало бы одновременно и физическое развитие , и нравственное , и объединяло бы класс .;это давать бы одновременно и физический развитие , и нравственный , и объединять бы класс .;PRON VERB AUX ADV CCONJ ADJ NOUN PUNCT CCONJ ADJ PUNCT CCONJ VERB AUX NOUN PUNCT
Письмо двадцать девятое. ПУТЕШЕСТВУЙТЕ!;Одна из самых больших ценностей жизни – поездки по своей стране и по чужим странам.;Одна из самых больших ценностей жизни – поездки по своей стране и по чужим странам .;один из самый большой ценностей жизнь – поездка по свой страна и по чужой страна .;NUM ADP ADJ ADJ NOUN NOUN PUNCT NOUN ADP DET NOUN CCONJ ADP ADJ NOUN PUNCT
Письмо двадцать девятое. ПУТЕШЕСТВУЙТЕ!;При этом остерегайтесь делить поездки на интересные и неинтересные, а места, которые посетили, на значительные и незначительные.;При этом остерегайтесь делить поездки на интересные и неинтересные , а места , которые посетили , на значительные и незначительные .;при это остерегаться делить поездка на интересный и неинтересный , а место , который посетить , на значительный и незначительный .;ADP PRON VERB VERB NOUN ADP ADJ CCONJ ADJ PUNCT CCONJ NOUN PUNCT PRON VERB PUNCT ADP ADJ CCONJ ADJ PUNCT
Письмо двадцать девятое. ПУТЕШЕСТВУЙТЕ!;Даже степени значительности посещенных вами мест старайтесь не устанавливать.;Даже степени значительности посещенных вами мест старайтесь не устанавливать .;даже степень значительность посестить вы место стараться не устанавливать .;PART NOUN NOUN VERB PRON NOUN VERB PART VERB PUNCT
Письмо двадцать девятое. ПУТЕШЕСТВУЙТЕ!;Делите поездки на те, к которым вы подготовились, и те, к которым не подготовились или подготовились плохо.;Делите поездки на те , к которым вы подготовились , и те , к которым не подготовились или подготовились плохо .;делить поездка на тот , к который вы подготовиться , и тот , к который не подготовиться или подготовиться плохо .;VERB NOUN ADP DET PUNCT ADP PRON PRON VERB PUNCT CCONJ DET PUNCT ADP PRON PART VERB CCONJ VERB ADV PUNCT
